id;start_date;end_date;language
1;2021-10-08T07:41:33;2021-10-08T05:31:48;ENGLISH
2;2021-10-07T17:09:08;2021-10-08T02:34:37;FRENCH
3;2021-10-08T03:05:20;2021-10-07T15:10:28;SPANISH
4;2021-10-08T07:36:09;2021-10-07T13:02:28;FRENCH
5;2021-10-08T09:52:32;2021-10-07T18:11:30;ENGLISH
6;2021-10-07T19:23:15;2021-10-08T09:23:35;SPANISH
7;2021-10-08T03:27:03;2021-10-07T14:01:12;FRENCH
8;2021-10-07T17:52:56;2021-10-07T14:28:45;FRENCH
9;2021-10-07T18:44:34;2021-10-08T06:16:00;FRENCH
10;2021-10-07T14:41:32;2021-10-08T07:39:01;FRENCH
